日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-09-01,002555,20.28,20.09,20.44,20.08,82252,166469122.0,1.77,-1.33,-0.27,2.59
2016-09-02,002555,20.26,20.04,20.3,20.0,71916,144590311.0,1.49,-0.25,-0.05,2.27
2016-09-05,002555,20.07,20.0,20.25,19.94,74905,150376122.0,1.55,-0.2,-0.04,2.36
2016-09-06,002555,20.0,20.2,20.26,19.9,108909,218935217.0,1.8,1.0,0.2,3.43
2016-09-07,002555,20.24,19.94,20.28,19.92,115989,232455729.0,1.78,-1.29,-0.26,3.66
2016-09-08,002555,20.0,19.99,20.15,19.93,68951,138148436.0,1.1,0.25,0.05,2.17
2016-09-09,002555,19.97,19.5,19.99,19.48,120038,235685579.0,2.55,-2.45,-0.49,3.79
2016-09-12,002555,19.0,18.78,19.35,18.71,106515,201317021.0,3.28,-3.69,-0.72,3.36
2016-09-13,002555,18.85,18.64,18.96,18.53,70936,132571821.0,2.29,-0.75,-0.14,2.24
2016-09-14,002555,18.49,18.89,18.9,18.17,115896,214487554.0,3.92,1.34,0.25,3.66
2016-09-19,002555,18.8,18.85,19.05,18.72,49570,93665785.0,1.75,-0.21,-0.04,1.56
2016-09-20,002555,18.79,18.59,18.79,18.5,59052,110005269.0,1.54,-1.38,-0.26,1.86
2016-09-21,002555,18.59,18.54,18.72,18.48,40338,74923153.0,1.29,-0.27,-0.05,1.27
2016-09-22,002555,18.69,18.6,18.76,18.51,48817,90967066.0,1.35,0.32,0.06,1.54
2016-09-23,002555,18.8,18.69,18.85,18.53,42660,79683161.0,1.72,0.48,0.09,1.35
2016-09-26,002555,18.64,18.13,18.66,18.01,69714,127344992.0,3.48,-3.0,-0.56,2.2
2016-09-27,002555,18.03,18.22,18.29,17.95,42054,76341902.0,1.88,0.5,0.09,1.33
2016-09-28,002555,18.23,18.01,18.26,18.01,42651,77185802.0,1.37,-1.15,-0.21,1.35
2016-09-29,002555,18.05,18.51,18.88,18.05,87118,161297250.0,4.61,2.78,0.5,2.75
2016-10-19,002555,20.36,19.49,20.36,19.21,220791,433531344.0,6.21,5.29,0.98,6.96
2016-10-20,002555,19.65,20.87,21.32,19.65,334806,681867552.0,8.57,7.08,1.38,10.56
2016-10-21,002555,20.4,20.01,20.56,19.81,194752,392487616.0,3.59,-4.12,-0.86,6.14
2016-10-24,002555,20.0,19.72,20.0,19.5,115820,228206153.0,2.5,-1.45,-0.29,3.65
2016-10-25,002555,19.8,19.46,19.88,19.4,113316,221571753.0,2.43,-1.32,-0.26,3.57
2016-10-26,002555,19.21,19.25,19.35,18.85,130273,248787290.0,2.57,-1.08,-0.21,4.11
2016-10-27,002555,19.26,19.61,19.79,19.06,105125,205218580.0,3.79,1.87,0.36,2.25
2016-10-28,002555,19.68,19.21,19.69,19.11,66710,129327919.0,2.96,-2.04,-0.4,1.42
2016-10-31,002555,19.29,19.25,19.68,19.21,92546,180153401.0,2.45,0.21,0.04,1.98
2016-11-01,002555,19.28,19.52,19.71,19.27,83900,164007387.0,2.29,1.4,0.27,1.79
2016-11-02,002555,19.4,19.35,19.44,19.1,73669,141945068.0,1.74,-0.87,-0.17,1.57
2016-11-03,002555,19.35,19.16,19.37,19.01,75098,144057145.0,1.86,-0.98,-0.19,1.6
2016-11-04,002555,19.19,18.91,19.37,18.9,67109,127975308.0,2.45,-1.3,-0.25,1.43
2016-11-07,002555,18.7,18.45,18.8,18.38,67410,125070305.0,2.22,-2.43,-0.46,1.44
2016-11-08,002555,18.5,18.44,18.63,18.38,52607,97074856.0,1.36,-0.05,-0.01,1.12
2016-11-09,002555,18.44,18.25,18.47,18.0,73114,133524313.0,2.55,-1.03,-0.19,1.56
2016-11-10,002555,18.33,18.29,18.47,18.25,63589,116580199.0,1.21,0.22,0.04,1.36
2016-11-11,002555,18.31,18.55,18.76,18.28,66732,123970723.0,2.62,1.42,0.26,1.43
2016-11-14,002555,18.42,19.09,19.16,18.42,104922,199105659.0,3.99,2.91,0.54,2.24
2016-11-15,002555,18.96,19.44,19.47,18.8,107932,206598977.0,3.51,1.83,0.35,2.31
2016-11-16,002555,19.43,20.02,20.25,19.4,182284,363278400.0,4.37,2.98,0.58,3.89
2016-11-17,002555,19.99,19.43,19.99,19.39,118880,232273046.0,3.0,-2.95,-0.59,2.54
2016-11-18,002555,19.41,19.13,19.41,19.02,62463,119620742.0,2.01,-1.54,-0.3,1.33
2016-11-21,002555,19.11,18.9,19.28,18.88,70865,134744299.0,2.09,-1.2,-0.23,1.51
2016-11-22,002555,18.9,19.05,19.05,18.75,64952,122606168.0,1.59,0.79,0.15,1.39
2016-11-23,002555,19.06,18.72,19.14,18.66,69103,130487815.0,2.52,-1.73,-0.33,1.48
2016-11-24,002555,18.6,18.7,18.9,18.54,62696,117145872.0,1.92,-0.11,-0.02,1.34
2016-11-25,002555,18.71,18.52,18.83,18.29,59357,109589809.0,2.89,-0.96,-0.18,1.27
2016-11-28,002555,18.56,18.46,18.68,18.4,49896,92336102.0,1.51,-0.32,-0.06,1.07
2016-11-29,002555,18.46,18.75,18.86,18.45,61353,114401660.0,2.22,1.57,0.29,1.31
2016-11-30,002555,18.74,19.02,19.06,18.38,76153,143865931.0,3.63,1.44,0.27,1.63
2016-12-01,002555,19.01,18.78,19.06,18.73,45828,86412599.0,1.74,-1.26,-0.24,0.98
2016-12-02,002555,18.72,18.27,18.78,18.26,50836,93746916.0,2.77,-2.72,-0.51,1.09
2016-12-05,002555,18.11,18.35,18.7,17.75,35622,65259623.0,5.2,0.44,0.08,0.76
2016-12-06,002555,18.39,18.18,18.48,18.09,40185,73164888.0,2.13,-0.93,-0.17,0.86
2016-12-07,002555,18.23,18.2,18.29,18.08,40029,72591048.0,1.16,0.11,0.02,0.85
2016-12-08,002555,18.19,17.92,18.24,17.91,53401,96259338.0,1.81,-1.54,-0.28,1.14
2016-12-09,002555,17.92,17.84,18.1,17.83,30418,54524141.0,1.51,-0.45,-0.08,0.65
2016-12-12,002555,17.84,16.86,17.95,16.81,71470,123621878.0,6.39,-5.49,-0.98,1.53
2016-12-13,002555,16.69,16.99,17.24,16.52,54669,92356190.0,4.27,0.77,0.13,1.17
2016-12-14,002555,17.0,16.65,17.11,16.57,32939,55303955.0,3.18,-2.0,-0.34,0.7
2016-12-15,002555,16.65,16.78,16.96,16.55,26225,44030321.0,2.46,0.78,0.13,0.56
2016-12-16,002555,16.8,16.88,16.9,16.7,20750,34933913.0,1.19,0.6,0.1,0.44
2016-12-19,002555,16.87,16.6,16.96,16.53,26572,44408341.0,2.55,-1.66,-0.28,0.57
2016-12-20,002555,16.52,16.34,16.61,16.3,31874,52210947.0,1.87,-1.57,-0.26,0.68
2016-12-21,002555,16.41,16.7,16.82,16.41,41061,68542957.0,2.51,2.2,0.36,0.88
2016-12-22,002555,16.7,16.51,16.81,16.28,41131,67990908.0,3.17,-1.14,-0.19,0.88
2016-12-23,002555,16.52,16.41,16.64,16.31,30876,50950952.0,2.0,-0.61,-0.1,0.66
2016-12-26,002555,16.56,16.54,16.66,16.35,41113,68033514.0,1.89,0.79,0.13,0.88
2016-12-27,002555,16.59,16.44,16.62,16.39,36151,59735655.0,1.39,-0.6,-0.1,0.77
2016-12-28,002555,16.41,16.37,16.56,16.36,28150,46263206.0,1.22,-0.43,-0.07,0.6
2016-12-29,002555,16.3,16.38,16.47,16.3,29363,48189058.0,1.04,0.06,0.01,0.63
2016-12-30,002555,16.36,16.4,16.5,16.36,18455,30345250.0,0.85,0.12,0.02,0.31
2017-01-03,002555,16.49,16.66,16.7,16.49,31474,52282915.0,1.28,1.59,0.26,0.51
2017-01-04,002555,16.67,17.05,17.15,16.54,51593,87091177.0,3.66,2.34,0.39,0.83
2017-01-05,002555,17.05,17.02,17.1,16.92,33198,56478651.0,1.06,-0.18,-0.03,0.53
2017-01-06,002555,17.02,16.88,17.09,16.78,24578,41450983.0,1.82,-0.82,-0.14,0.39
2017-01-09,002555,16.88,16.87,16.97,16.71,19993,33641854.0,1.54,-0.06,-0.01,0.32
2017-01-10,002555,16.94,16.84,16.94,16.71,25605,43108230.0,1.36,-0.18,-0.03,0.41
2017-01-11,002555,16.8,16.5,16.84,16.5,22366,37206995.0,2.02,-2.02,-0.34,0.36
2017-01-12,002555,16.45,16.57,16.68,16.4,26138,43363453.0,1.7,0.42,0.07,0.42
2017-01-13,002555,16.51,16.25,16.63,16.23,23182,37923032.0,2.41,-1.93,-0.32,0.37
2017-01-16,002555,16.3,15.92,16.36,14.7,43644,69290592.0,10.22,-2.03,-0.33,0.7
2017-01-17,002555,15.87,15.97,16.1,15.6,28156,44801046.0,3.14,0.31,0.05,0.45
2017-01-18,002555,15.82,16.04,16.26,15.8,23201,37409659.0,2.88,0.44,0.07,0.37
2017-01-19,002555,16.0,16.13,16.17,15.91,17372,27924126.0,1.62,0.56,0.09,0.28
2017-01-20,002555,15.98,17.05,17.16,15.97,66185,111473846.0,7.38,5.7,0.92,1.06
